Address,Date
黄浦区广西北路228弄,"['2022-04-05', '2022-04-03']"
黄浦区广西南路23号,"['2022-04-05', '2022-04-04']"
黄浦区贵州路77弄,['2022-04-05']
黄浦区海潮路240弄,"['2022-04-05', '2022-04-03', '2022-04-02', '2022-03-29', '2022-03-27']"
黄浦区海潮路93弄,"['2022-04-05', '2022-04-03', '2022-04-02', '2022-03-29', '2022-03-27']"
黄浦区汉口路766号,"['2022-04-05', '2022-04-04', '2022-04-03']"
黄浦区合肥路199号,"['2022-04-05', '2022-04-04']"
黄浦区合肥路271号,['2022-04-05']
黄浦区合肥路289弄,['2022-04-05']
黄浦区合肥路622号,['2022-04-05']
黄浦区河南南路1001弄,"['2022-04-05', '2022-04-04', '2022-04-03', '2022-03-27']"
黄浦区河南南路1009弄,"['2022-04-05', '2022-04-03']"
黄浦区河南南路368弄,"['2022-04-05', '2022-04-04', '2022-04-03', '2022-03-29']"
黄浦区河南南路398弄,"['2022-04-05', '2022-04-03', '2022-04-01', '2022-03-29']"
黄浦区河南南路555弄,"['2022-04-05', '2022-03-29']"
黄浦区淮海东路89弄,"['2022-04-05', '2022-04-03']"
黄浦区淮海中路526弄,['2022-04-05']
黄浦区淮海中路558号,['2022-04-05']
黄浦区淮海中路593弄,['2022-04-05']
黄浦区淮海中路615号,['2022-04-05']
黄浦区淮海中路637弄,['2022-04-05']
黄浦区淮海中路774号,['2022-04-05']
黄浦区淮海中路927弄,"['2022-04-05', '2022-04-04']"
黄浦区黄陂南路506弄,"['2022-04-05', '2022-04-04', '2022-03-22']"
黄浦区黄陂南路847弄,['2022-04-05']
黄浦区黄河路107弄,"['2022-04-05', '2022-04-03']"
黄浦区黄河路163号,"['2022-04-05', '2022-04-04']"
黄浦区黄河路259弄,['2022-04-05']
黄浦区黄河路281弄,['2022-04-05']
黄浦区黄家路99弄,"['2022-04-05', '2022-04-03', '2022-04-02', '2022-03-29']"
黄浦区黄家阙路120号,['2022-04-05']
黄浦区黄家阙路68弄,"['2022-04-05', '2022-04-04', '2022-04-03', '2022-03-29']"
黄浦区黄家阙路72弄,['2022-04-05']
黄浦区黄家阙路88弄,"['2022-04-05', '2022-04-04']"
黄浦区火腿弄35号,['2022-04-05']
黄浦区吉安路175弄,['2022-04-05']
黄浦区吉安路288号,['2022-04-05']
黄浦区吉安路293弄,['2022-04-05']
黄浦区济南路297号,['2022-04-05']
黄浦区建德路9号,"['2022-04-05', '2022-04-04']"
黄浦区建国西路194号,['2022-04-05']
黄浦区建国西路91弄,"['2022-04-05', '2022-04-04']"
黄浦区建国中路103弄,"['2022-04-05', '2022-04-04', '2022-04-03']"
黄浦区建国中路145号,['2022-04-05']
黄浦区建国中路61弄,['2022-04-05']
黄浦区江西中路135弄,"['2022-04-05', '2022-04-03']"
黄浦区江西中路170号,['2022-04-05']
黄浦区江西中路368号,['2022-04-05']
黄浦区江西中路412弄,"['2022-04-05', '2022-04-04', '2022-04-03', '2022-04-02']"
黄浦区江西中路416号,['2022-04-05']
黄浦区江西中路422号,"['2022-04-05', '2022-04-03']"
黄浦区江西中路452号,['2022-04-05']
黄浦区江西中路460弄,['2022-04-05']
黄浦区江阴街46号,['2022-04-05']
黄浦区江阴路106弄,['2022-04-05']
黄浦区江阴路111弄,['2022-04-05']
黄浦区金陵东路111号,['2022-04-05']
黄浦区金陵西路60号,"['2022-04-05', '2022-04-04']"
黄浦区进贤路138弄,"['2022-04-05', '2022-04-04', '2022-04-03']"
黄浦区静修路101号,['2022-04-05']
