Address,Coordinates(BD_GCJ)
上海市黄浦区淡水路218号,"[(31.223245029969494, 121.4796765767175), (31.217301454498433, 121.47314586286164)]"
上海市黄浦区淡水路89弄,"[(31.22721041598052, 121.47915618833555), (31.221256474523422, 121.47262584875051)]"
上海市黄浦区淡水路91弄,"[(31.227227862844504, 121.47957596650036), (31.221281839137273, 121.47304358354415)]"
上海市黄浦区滇池路116号,"[(31.245342359637938, 121.49415654289393), (31.239628919615775, 121.48756462763723)]"
上海市黄浦区滇池路116弄,"[(31.245399321086584, 121.49415744119943), (31.23968589838254, 121.48756555037531)]"
上海市黄浦区东江阴街184号,"[(31.219622806225765, 121.50385357121303), (31.213980548173332, 121.49724815248354)]"
上海市黄浦区东江阴街194号,"[(31.219656699117703, 121.50367310163607), (31.214013942011057, 121.49706778319067)]"
上海市黄浦区东江阴街220号,"[(31.219691364044618, 121.50351517952741), (31.214048142850274, 121.49690995181166)]"
上海市黄浦区东街159号,"[(31.22994953379037, 121.50393028650359), (31.2243060011732, 121.49731905413978)]"
上海市黄浦区东街167弄,"[(31.228933857077042, 121.50389713903027), (31.223290328220088, 121.49728627838746)]"
上海市黄浦区东街50号,"[(31.22994953379037, 121.50393028650359), (31.2243060011732, 121.49731905413978)]"
上海市黄浦区东台路277号,"[(31.22389583880912, 121.48944304405252), (31.218120337073355, 121.48286871412886)]"
上海市黄浦区方浜西路59号,"[(31.226935202850672, 121.4890903693093), (31.221154002209477, 121.48251577051225)]"
上海市黄浦区方浜西路63弄,"[(31.22685144217224, 121.48894178957794), (31.221068003382232, 121.48236780763615)]"
上海市黄浦区方斜路548弄,"[(31.218404584087196, 121.48929653042383), (31.21262789843132, 121.48272666569585)]"
上海市黄浦区方斜支路11号,"[(31.222454017071048, 121.49258819130407), (31.216722208401585, 121.4860036080596)]"
上海市黄浦区凤阳路200弄,"[(31.24050305687643, 121.47829246758772), (31.2345323654435, 121.47176485211297)]"
上海市黄浦区凤阳路358弄,"[(31.240041088234957, 121.47565019176066), (31.2340200093564, 121.4691354218333)]"
上海市黄浦区福建南路33号,"[(31.236039502975604, 121.49036497499742), (31.230276468187522, 121.48378340749629)]"
上海市黄浦区福建中路225号,"[(31.240106234828197, 121.48776069749343), (31.234304013000234, 121.48118967144806)]"
上海市黄浦区福州路17号,"[(31.241136301411853, 121.49684328484372), (31.235450365802475, 121.49024263039406)]"
上海市黄浦区福州路384弄,"[(31.24003344662922, 121.4896390543148), (31.234259988551027, 121.48306061716688)]"
上海市黄浦区复兴东路1055弄,"[(31.225671959638372, 121.49185748349748), (31.21993017959735, 121.48527342173588)]"
上海市黄浦区复兴东路248号,"[(31.22636979751649, 121.50652081993326), (31.220729939189564, 121.49991019843034)]"
上海市黄浦区复兴东路663弄,"[(31.227977302939546, 121.49812238205936), (31.222302725896878, 121.49151989694693)]"
上海市黄浦区复兴东路671号,"[(31.227828851283707, 121.49816496174054), (31.22215463459515, 121.49156245048182)]"
